date,description,amount,category,account
2017-01-11 00,"AUSLANDSEINSATZENTG.F.ILS527.00 ",-2.45,"resto","default"
2017-01-11 01,"NAMMOS HERZELIYAIL 527;00ILS 0;2516509 ",-132.62,"unknown","default"
2017-01-11 02,"AUSLANDSEINSATZENTG.F.ILS55.00 ",-0.26,"resto","default"
2017-01-11 03,"STOPMARKETARENA HERZELIA IL 55;00ILS 0;2516364 ",-13.84,"unknown","default"
2017-01-11 04,"AUSLANDSEINSATZENTG.F.ILS200.00 ",-0.93,"resto","default"
2017-01-11 05,"SDEROTYERUSHALAYIM JAFFA IL 200;00ILS 0;2516500 ",-50.33,"unknown","default"
2017-01-11 06,"200;00ILS0;2516500 ",50.33,"unknown","default"
2017-01-12 00,"DERBYBAR HERZELIYAIL 478;00ILS 0;2539749 ",-121.40,"unknown","default"
2017-01-12 01,"AUSLANDSEINSATZENTG.F.ILS500.00 ",-2.35,"resto","default"
2017-01-12 02,"ARENAMALL HERZLIYA IL 500;00ILS 0;2539800 ",-126.99,"unknown","default"
2017-01-12 03,"UMBUCHUNGBARGELDABHEBUNG 500;00ILS 0;2539800 ",126.99,"cash","default"
2017-01-13 00,"AUSLANDSEINSATZENTG.F.ILS500.00 ",-2.34,"resto","default"
2017-01-13 01,"HAIFA-MATAM HAIFA IL 500;00ILS 0;2526600 ",-126.33,"unknown","default"
2017-01-13 02,"UMBUCHUNGBARGELDABHEBUNG 500;00ILS 0;2526600 ",126.33,"cash","default"
2017-01-13 03,"IHRHIT-MARKT MUENCHENDE ",-26.71,"groceries","default"
2017-01-16 00,"AUSLANDSEINSATZENTG.F.USD1090.82 ",-19.43,"resto","default"
2017-01-16 01,"AUSLANDSEINSATZENTG.F.USD183.60 ",-3.27,"resto","default"
2017-01-16 02,"130ROCKAPARTMENTS TELAVIVYAFIL 183;60USD 0;9626362 ",-176.74,"unknown","default"
2017-01-16 03,"HERODS HERZELIYAIL 1.090;82USD ",0.9626153-1050.04,"unknown","default"
2017-01-16 04,"DBBAHNAUTOMATEN München-FlughDE ",-6.60,"unknown","default"
2017-01-16 05,"AUSLANDSEINSATZENTG.F.ILS500.00 ",-2.34,"resto","default"
2017-01-16 06,"ALLENBY35A TELAVIV IL 500;00ILS 0;2525000 ",-126.25,"unknown","default"
2017-01-16 07,"UMBUCHUNGBARGELDABHEBUNG 500;00ILS 0;2525000 ",126.25,"cash","default"
2017-01-16 08,"POSTBANKLEOPOLDSTR.5MUENCHEN>DE ",-100.00,"unknown","default"
2017-01-16 09,"COTIIIMUENCHEN MUENCHEN DE ",-34.00,"unknown","default"
2017-01-16 10,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-01-18 00,"AUSLANDSEINSATZENTG.F. USD48.78 ",-0.87,"resto","default"
2017-01-18 01,"WALGREENS£689 MOUNTAINVIEWUS 48;78USD 0;9626896 ",-46.96,"unknown","default"
2017-01-20 00,"SCANDICHOTELTAMPERECITYTAMPERE FI ",-220.00,"unknown","default"
2017-01-20 01,"TENGELMANN81870 MUENCHENDE ",-13.93,"groceries","default"
2017-02-21 00,"AUSZAHLUNGCASHBACK ",21.33,"unknown","default"
2017-02-22 00,"Verwoehnhotel Bergh St.JohannimAT ",-60.00,"unknown","default"
2017-02-23 00,"Htl.Alpenschlossl St.JohannimAT ",-1452.20,"unknown","default"
2017-02-24 00,"IHRHIT-MARKT MUENCHENDE ",-47.10,"groceries","default"
2017-02-24 01,"TENGELMANN51907 MUENCHENDE ",-34.91,"groceries","default"
2017-02-27 00,"HVB;KARLSPLATZ7 MUENCHENDE ",-200.00,"cash","default"
2017-02-27 01,"RENTALCARS.COM 08003685302GB ",-83.68,"unknown","default"
2017-02-27 02,"HOTELIBISANTIB VALBONNEFR ",-80.20,"unknown","default"
2017-02-27 03,"EXPEDIA7246922690723 EXPEDIA.DEES ",-53.67,"unknown","default"
2017-02-27 04,"GLORIAPALAST MUENCHENDE ",-3.90,"entertainment","default"
2017-02-27 05,"GLORIAPALAST MUENCHEN DE ",-6.50,"entertainment","default"
2017-02-27 06,"GLORIAPALAST MUENCHENDE ",-33.00,"entertainment","default"
2017-02-27 07,"GLORIAPALAST MUENCHENDE ",-6.50,"entertainment","default"
2017-02-27 08,"GOOGLEGoogleMusic London GB ",-9.99,"unknown","default"
2017-02-27 09,"UMBUCHUNGBARGELDABHEBUNG ",200.00,"cash","default"
2017-02-28 00,"7 DM-DrogerieMarkt MuenchenDE ",-18.05,"unknown","default"
2017-02-28 01,"HelplingBerlin AmsterdamNL ",-56.70,"unknown","default"
2017-03-01 00,"ZAHLUNGPERBANKEINZUG ",2091.74,"unknown","default"
2017-03-01 01,"ZenPanasia&SushibarMunchen DE ",-73.90,"unknown","default"
2017-03-01 02,"NETFLIX.COM 866-579-7172NL ",-9.99,"entertainment","default"
2017-03-02 00,"LUFTHANSAAG2202379372227KOELN DE ",-469.99,"transport","default"
2017-03-02 01,"LUFTHANSAAG2202379448606KOELN DE ",-409.69,"transport","default"
2017-03-02 02,"MediaMarktTV-HiFi-ElektMuenchen DE ",69.99,"electronic","default"
2017-03-02 03,"MedicalSpaanderOperMuenchen DE ",-95.00,"unknown","default"
2017-03-03 00,"GOLDCARNIZA SAINTLAURENTFR ",-4.00,"unknown","default"
2017-03-03 01,"ENTERPRISERENTACARMüNCHEN DE ",-250.00,"unknown","default"
2017-03-03 02,"HOTELIBISANTIB VALBONNEFR ",-79.20,"unknown","default"
2017-03-03 03,"ESCOTA 06211FR ",-1.50,"unknown","default"
2017-03-03 04,"ENTERPRISERENTACARMüNCHEN DE ",250.00,"unknown","default"
2017-03-06 00,"GEANTCG829 VILLENEUVELOFR ",-32.17,"unknown","default"
2017-03-06 01,"HOTELIBISANTIB VALBONNEFR ",-8.90,"unknown","default"
2017-03-06 02,"HOTELIBISANTIB VALBONNEFR ",-9.90,"unknown","default"
2017-03-06 03,". ESCOTA 06211FR ",-1.50,"unknown","default"
2017-03-06 04,"HOTELIBISANTIB VALBONNEFR ",-8.90,"unknown","default"
2017-03-06 05,"CARREFOURTPE ANTIBESFR ",-100.00,"unknown","default"
2017-03-06 06,"DBBAHNAUTOMATEN München-FlughDE ",-6.60,"unknown","default"
2017-03-06 07,"AGIP9210CROS LACROIX-SUR-FR ",-13.89,"unknown","default"
2017-03-06 08,"DECATHLON 4623354060004ANTIBESFR ",-26.98,"unknown","default"
2017-03-06 09,"THACAZTHALASSO 06ANTIBES FR ",-101.25,"unknown","default"
2017-03-06 10,"ZenPanasia&SushibarMunchen DE ",-51.30,"unknown","default"
2017-03-06 11,"Media Markt TV-HiFi-ElektMuenchen DE ",-30.19,"electronic","default"
2017-03-06 12,"S.OLIVER MUENCHENDE ",-19.99,"unknown","default"
2017-03-06 13,"ALDISUEDSAGTDANKE MUENCHENDE ",-11.35,"groceries","default"
2017-03-06 14,"ZEROSTORE844 MUENCHENDE ",-25.95,"cloths","default"
2017-03-09 00,"NETTOSAGTDANKE8441MUENCHEN DE ",-11.58,"groceries","default"
2017-03-10 00,"DEGUSSABANKATM NEUBIBERGDE ",-100.00,"cash","default"
2017-03-10 01,"BARGELDAUSZAHLUNG/UMBUC ",-100.00,"unknown","default"
2017-03-10 02,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-03-10 03,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-03-13 00,"IHRHIT-MARKT MUENCHENDE ",-27.14,"groceries","default"
2017-03-13 01,"MHMUELLER3604 MUENCHEN DE ",-16.61,"unknown","default"
2017-03-13 02,"MediaMarktTV-HiFi-ElektMuenchen DE ",-408.00,"electronic","default"
2017-03-13 03,"ZenPanasia&SushibarMunchen DE ",-40.00,"unknown","default"
2017-03-13 04,"ZenPanasia&SushibarMunchen DE ",-33.00,"unknown","default"
2017-03-13 05,"MANGOMUENCHENPASINGARCMUENCHEN DE ",-69.99,"unknown","default"
2017-03-14 00,"Media Markt E-Business media markt.deDE ",-46.98,"electronic","default"
2017-03-14 01,"HelplingBerlin AmsterdamNL ",-56.70,"unknown","default"
2017-03-16 00,"LUFTHANSAAG2208211486716KOELN DE ",-99.00,"transport","default"
2017-03-16 01,"LUFTHANSAAG2208211486717KOELN DE ",-99.00,"transport","default"
2017-03-16 02,"LUFTHANSAAG2208211486718KOELN DE ",-99.00,"transport","default"
2017-03-17 00,"CAPTAIN'SBISTRO PAPHOS CY ",-18.35,"unknown","default"
2017-03-20 00,"BELASTUNGJAHRESBEITRAG ",-97.00,"unknown","default"
2017-03-20 01,"WATERFRONTSOUVENIRSHOPAPHOS CY ",-13.99,"unknown","default"
2017-03-20 02,"JAHRESGEBUEHRZUSATZKARTE ",-50.00,"unknown","default"
2017-03-21 00,"THEO'SSEAFOODRESTAURANPAPHOS CY ",-140.00,"unknown","default"
2017-03-22 00,"AUSZAHLUNGCASHBACK ",35.65,"unknown","default"
2017-03-24 00,"COMMERZBANKATM MUENCHENDE ",-100.00,"cash","default"
2017-03-24 01,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-03-24 02,"EKOA/FOINIKIFOROU FAMAGUSTACY ",-50.00,"unknown","default"
2017-03-24 03,"basicAGMunchenFil.028Munchen DE ",-36.51,"unknown","default"
2017-03-27 00,"ZenPanasia&SushibarMunchen DE ",-56.90,"unknown","default"
2017-03-27 01,"AUSLANDSEINSATZENTG.F.USD287.00 ",-5.03,"resto","default"
2017-03-27 02,"D.B.HOTELSLTDMERCURETTELAVIV IL 287;00USD 0;9479443 ",-272.06,"unknown","default"
2017-03-27 03,"ZenPanasia&SushibarMunchen DE ",-31.50,"unknown","default"
2017-03-27 04,"LidlVertriebsGmbH&Co.Muenchen DE ",-35.51,"groceries","default"
2017-03-27 05,"IHRHIT-MARKT MUENCHEN DE ",-18.45,"groceries","default"
2017-03-27 06,"GOOGLEGoogleMusic London GB ",-9.99,"unknown","default"
2017-03-27 07,"AUSLANDSEINSATZENTG.F.ILS405.00 ",-1.95,"resto","default"
2017-03-27 08,"BANKSERVICESCENTER TELAVIV IL 405;00ILS 0;2606420 ",-105.56,"unknown","default"
2017-03-27 09,"UMBUCHUNGBARGELDABHEBUNG 405;00ILS 0;2606420 ",105.56,"cash","default"
2017-03-29 00,"ZAHLUNGPERBANKEINZUG ",4729.82,"unknown","default"
2017-03-31 00,"AUSLANDSEINSATZENTG.F.ILS445.50 ",-2.16,"resto","default"
2017-03-31 01,"DERBYBAR HERZELIYAIL 445;50ILS 0;2622671 ",-116.84,"unknown","default"
2017-03-31 02,"NETFLIX.COM 866-579-7172NL ",-9.99,"entertainment","default"
2017-04-03 00,"AUSLANDSEINSATZENTG.F.ILS600.00 ",-2.93,"resto","default"
2017-04-03 01,"ARENAMALL HERZLIYA IL 600;00ILS 0;2638500 ",-158.31,"unknown","default"
2017-04-03 02,"AUSLANDSEINSATZENTG.F.USD1100.00 ",-19.49,"resto","default"
2017-04-03 03,"HERODS HERZELIYAIL 1.100;00USD ",0.9578273-1053.61,"unknown","default"
2017-04-03 04,"DBBAHNA-NRKWD4L4INTERNETDE ",-19.00,"unknown","default"
2017-04-03 05,"DBBAHNA-NR79U44RINTERNETDE ",-142.05,"unknown","default"
2017-04-03 06,"AUSLANDSEINSATZENTG.F.ILS50.00 ",-0.24,"resto","default"
2017-04-03 07,"AUSLANDSEINSATZENTG.F.ILS269.00 ",-1.31,"resto","default"
2017-04-03 08,"MOZEONTELAVIV TELAVIVIL 50;00ILS 0;2638000 ",-13.19,"unknown","default"
2017-04-03 09,"AUSLANDSEINSATZENTG.F.ILS500.00 ",-2.44,"resto","default"
2017-04-03 10,"KIKARZINADIZENGOFF TELAVIV IL 500;00ILS 0;2638800 ",-131.94,"resto","default"
2017-04-03 11,"DBBAHNAUTOMATEN München-FlughDE ",-6.60,"unknown","default"
2017-04-03 12,"UMBUCHUNGBARGELDABHEBUNG 600;00ILS 0;2638500 ",158.31,"cash","default"
2017-04-03 13,"UMBUCHUNGBARGELDABHEBUNG 500;00ILS 0;2638800 ",131.94,"cash","default"
2017-04-03 14,"ZenPanasia&SushibarMunchen DE ",-38.00,"unknown","default"
2017-04-03 15,"ICCASH01010922 TEGERNSEEDE ",-100.00,"unknown","default"
2017-04-03 16,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-04-04 00,"GASTEIGKULT&SPEISEMUENCHEN DE ",-30.60,"resto","default"
2017-04-04 01,"HelplingBerlin AmsterdamNL ",-56.70,"unknown","default"
2017-04-05 00,"SPARDA-BANK MUENCHEN 38030SPARDADE ",-100.00,"unknown","default"
2017-04-05 01,"LidlVertriebsGmbH&Co.Muenchen DE ",-19.84,"groceries","default"
2017-04-05 02,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-04-06 00,"VAPIANOHannover1 HannoverDE ",-16.70,"unknown","default"
2017-04-07 00,"HOTELLOCCUMERHOF HANNOVERDE ",-113.70,"unknown","default"
2017-04-07 01,"KalimeraKu.NGmbHGarbsenDE ",-59.95,"unknown","default"
2017-04-07 02,"SUSHI.WRAPGMBH MUENCHENDE ",-20.30,"unknown","default"
2017-04-10 00,"ZenPanasia&SushibarMunchen DE ",-63.60,"unknown","default"
2017-04-10 01,"SUSHI.WRAPGMBH MUENCHENDE ",-19.80,"unknown","default"
2017-04-10 02,"DBBAHNA-NRHL3YOFINTERNETDE ",-37.00,"unknown","default"
2017-04-10 03,"LidlVertriebsGmbH&Co.Muenchen DE ",-41.48,"groceries","default"
2017-04-10 04,"TRANSAVIAX32NSB LUCHTHAVENSCNL ",-239.00,"unknown","default"
2017-04-10 05,"TRANSAVIA J3RCKY LUCHTHAVENSCNL ",-194.00,"unknown","default"
2017-04-11 00,"HelplingBerlin AmsterdamNL ",-56.70,"unknown","default"
2017-04-12 00,"TENGELMANN50475 MUENCHEN DE ",-33.94,"groceries","default"
2017-04-13 00,"MUENCHENTICKETGMBH MUENCHEN DE ",-157.50,"unknown","default"
2017-04-13 01,"NETTOSAGTDANKE8441MUENCHEN DE ",-22.62,"groceries","default"
2017-04-18 00,"ICCASH01010900 MUENCHEN DE ",-100.00,"unknown","default"
2017-04-18 01,"GasteigKult&SpeiseMunchen DE ",-34.40,"unknown","default"
2017-04-18 02,"ZENTRALERKARTENVERKAUFDMUENCHEN DE ",-23.00,"resto","default"
2017-04-18 03,"REITSCHULEGASTRONOMIEMUENCHEN DE ",-58.00,"unknown","default"
2017-04-18 04,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-04-18 05,"SHOETOWNWERDICH MUENCHENDE ",-29.95,"unknown","default"
2017-04-18 06,"Lidl Vertriebs GmbH & Co.Muenchen DE ",-37.38,"groceries","default"
2017-04-19 00,"TENGELMANN81870 MUENCHENDE ",-17.64,"groceries","default"
2017-04-19 01,"Rossmann1033 MunchenDE ",-14.98,"unknown","default"
2017-04-20 00,"LUFTHANSAAG2202381322669KOELN DE ",-302.99,"transport","default"
2017-04-20 01,"BARGELDAUSZAHLUNG/UMBUC ",-100.00,"unknown","default"
2017-04-20 02,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-04-20 03,"Praxis-Prof.Dr.Med.D.AbecMuenchen DE ",-277.00,"unknown","default"
2017-04-21 00,"ZenPanasia&SushibarMunchen DE ",-59.20,"unknown","default"
2017-04-24 00,"GasteigKult&SpeiseMunchen DE ",-34.00,"unknown","default"
2017-04-24 01,"IHRHIT-MARKT MUENCHENDE ",-46.62,"groceries","default"
2017-04-24 02,"LIDLVERTRIEBSGMBH MÜNCHEN DE ",-18.51,"groceries","default"
2017-04-25 00,"GARIBALDIGmbH NymphenburMuenchen DE ",-50.30,"groceries","default"
2017-04-25 01,"RISTORANTEROMANS MUENCHENDE ",-15.00,"unknown","default"
2017-04-26 00,"COMMERZBANKATM MUENCHENDE ",-100.00,"cash","default"
2017-04-26 01,"RENTALCARS.COM 08003685302 GB ",-57.72,"unknown","default"
2017-04-26 02,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-04-27 00,"GOOGLEGoogleMusic London GB ",-9.99,"unknown","default"
2017-04-27 01,"MUELLERFIL.1052 MUENCHENDE ",-11.27,"unknown","default"
2017-05-02 00,"MISSSUSHICASTANOSLOCALALICANTE ES ",-77.65,"unknown","default"
2017-05-02 01,"MAYORPUNTOHOSTELEROSSLALICANTE ES ",-46.95,"unknown","default"
2017-05-02 02,"CARREFOUREXPLANADA ALICANTEES ",-14.80,"unknown","default"
2017-05-02 03,"NAVELLOSCAFETERIA VALENCIAES ",-31.40,"unknown","default"
2017-05-02 04,"PAVAPARKAVDA.DELOESTEVALENCIA ES ",-11.70,"unknown","default"
2017-05-02 05,"NETFLIX.COM 866-579-7172NL ",-9.99,"entertainment","default"
2017-05-02 06,"100811312 VALENCIAES ",-201.80,"unknown","default"
2017-05-02 07,"ZAHLUNGPERBANKEINZUG ",4099.85,"unknown","default"
2017-05-02 08,"UMBUCHUNGBARGELDABHEBUNG ",201.80,"cash","default"
2017-05-02 09,"OLIVERA GUADALEST ES ",-31.80,"unknown","default"
2017-05-02 10,"RESTAURANTENOUMANOLINALICANTE ES ",-115.79,"unknown","default"
2017-05-03 00,"PALACIOSALVETTI ALICANTE-ALACES ",-673.50,"unknown","default"
2017-05-03 01,"DBBAHNAUTOMATEN München-FlughDE ",-12.60,"unknown","default"
2017-05-03 02,"TABERNADELGOURMET ALICANTEES ",-95.90,"unknown","default"
2017-05-04 00,"IHRHIT-MARKT MUENCHENDE ",-45.99,"groceries","default"
2017-05-05 00,"AUTOPISTA MARENOSTRUM VALENCIA ES ",-3.90,"unknown","default"
2017-05-05 01,"AUTOPISTAMARENOSTRUMVALENCIAES ",-3.35,"unknown","default"
2017-05-05 02,"AUTOPISTAMARENOSTRUMVALENCIA ES ",-17.00,"unknown","default"
2017-05-05 03,"AUTOPISTA MARENOSTRUM VALENCIA ES ",-17.00,"unknown","default"
2017-05-05 04,"AUTOPISTAMARENOSTRUMVALENCIAES ",2.55,"unknown","default"
2017-05-05 05,"AUTOPISTAMARENOSTRUMVALENCIAES ",-5.15,"unknown","default"
2017-05-05 06,"HelplingBerlin AmsterdamNL ",-56.70,"unknown","default"
2017-05-08 00,"HVB;KARLSPLATZ7 MUENCHEN DE ",-100.00,"cash","default"
2017-05-08 01,"ZenPanasia&SushibarMunchen DE ",-49.00,"unknown","default"
2017-05-08 02,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-05-09 00,"IHRHIT-MARKT MUENCHEN DE ",-25.37,"groceries","default"
2017-05-10 00,"AUSLANDSEINSATZENTG.F.EUR89.25 ",-1.65,"resto","default"
2017-05-10 01,"SMARTREGINTLINCPALOALTOUS ",-89.25,"unknown","default"
2017-05-10 02,"LIDLVERTRIEBSGMBH MÜNCHEN DE ",-21.64,"groceries","default"
2017-05-11 00,"LUFTHANSAAG2202381322669KOELN DE ",76.08,"transport","default"
2017-05-11 01,"GasteigKult&SpeiseMunchen DE ",-19.90,"unknown","default"
2017-05-12 00,"IHRHIT-MARKT MUENCHENDE ",-33.41,"groceries","default"
2017-05-12 01,"Rossmann1033 Munchen DE ",-12.97,"unknown","default"
2017-05-15 00,"GasteigKult&SpeiseMunchen DE ",-35.10,"unknown","default"
2017-05-15 01,"Satluj MunchenDE ",-53.40,"unknown","default"
2017-05-15 02,"LIDLVERTRIEBSGMBH MÜNCHEN DE ",-6.28,"groceries","default"
2017-05-15 03,"DM-DrogerieMarkt MuenchenDE ",-4.75,"unknown","default"
2017-05-15 04,"MANGOMUNCHENNEUHAUSERSMUENCHEN DE ",-39.99,"unknown","default"
2017-05-16 00,"STADTSPARKASSEMUENCHENFL005 DE ",-100.00,"cash","default"
2017-05-16 01,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-05-18 00,"HOFBRAEUKELLERMUENCHENMUENCHEN DE ",-17.50,"unknown","default"
2017-05-18 01,"IHRHIT-MARKT MUENCHENDE ",-19.12,"groceries","default"
2017-05-22 00,"ZenPanasia&SushibarMunchen DE ",-53.80,"unknown","default"
2017-05-23 00,"HelplingBerlin AmsterdamNL ",-56.70,"unknown","default"
2017-05-24 00,"IHRHIT-MARKT MUENCHENDE ",-14.93,"groceries","default"
2017-05-24 01,"MUELLERFIL.1052 MUENCHENDE ",-10.74,"unknown","default"
2017-05-25 00,"PfaelzerWeinstube MuenchenDE ",-23.50,"unknown","default"
2017-05-26 00,"COMMERZBANKATM MUENCHENDE ",-100.00,"cash","default"
2017-05-26 01,"Meridian Holzkirchen DE ",-35.00,"transport","default"
2017-05-26 02,"GOOGLE*GoogleMusic g.co/payhelp£GB ",-9.99,"unknown","default"
2017-05-26 03,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-05-29 00,"DM-Drogerie Markt Muenchen DE ",-4.25,"unknown","default"
2017-05-29 01,"COMMERZBANKATM MUENCHENDE ",-100.00,"cash","default"
2017-05-29 02,"MVGAUTOMATEN68044211 MUENCHEN DE ",-12.60,"transport","default"
2017-05-29 03,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-05-29 04,"Lidl Vertriebs GmbH & Co.Muenchen DE ",-33.34,"groceries","default"
2017-05-30 00,"TENGELMANN50397 MUENCHENDE ",-14.73,"groceries","default"
2017-05-30 01,"NETTOSAGTDANKE8441MUENCHEN DE ",-12.52,"groceries","default"
2017-05-30 02,"COMMERZBANKATM MUENCHENDE ",-100.00,"cash","default"
2017-05-30 03,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-05-31 00,"NETFLIX.COM 866-579-7172NL ",-9.99,"entertainment","default"
2017-05-31 01,"ZAHLUNGPERBANKEINZUG ",1975.89,"unknown","default"
2017-06-01 00,"TENGELMANN50397 MUENCHEN DE ",-11.29,"groceries","default"
2017-06-01 01,"LUFTHANSAAG2202383003744KOELN DE ",-222.47,"transport","default"
2017-06-02 00,"COMMERZBANKATM MUENCHENDE ",-100.00,"cash","default"
2017-06-02 01,"IHRHIT-MARKT MUENCHENDE ",-33.33,"groceries","default"
2017-06-02 02,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-06-05 00,"IHRHIT-MARKT MUENCHENDE ",-41.86,"groceries","default"
2017-06-07 00,"LIDLVERTRIEBSGMBH MÜNCHEN DE ",-8.62,"groceries","default"
2017-06-08 00,"LUFTHANSAAG2202383207805KOELN DE ",-459.21,"transport","default"
2017-06-08 01,"IHRHIT-MARKT MUENCHENDE ",-34.53,"groceries","default"
2017-06-08 02,"LUFTHANSAAG2202383207685KOELN DE ",-433.80,"transport","default"
2017-06-09 00,"UMBUCHUNGBARGELDABHEBUNG ",200.00,"cash","default"
2017-06-12 00,"NETTOSAGTDANKE8441MUENCHEN DE ",-12.84,"groceries","default"
2017-06-12 01,"PROMOD MUENCHENDE ",-44.90,"unknown","default"
2017-06-13 00,"tlv2go TELAVIVIL 1.300;45ILS 0;2576493 ",-335.06,"unknown","default"
2017-06-13 01,"Helpling BerlinDE ",-56.70,"unknown","default"
2017-06-14 00,"PROMOD MUENCHEN DE ",-14.95,"unknown","default"
2017-06-14 01,"DEICHMANNMunchen1000Munchen DE ",-22.85,"unknown","default"
2017-06-15 00,"AUSLANDSEINSATZENTG.F.ILS605.00 ",-2.91,"resto","default"
2017-06-15 01,"BANKSERVICESCENTER TELAVIV IL 605;00ILS 0;2598512 ",-157.21,"unknown","default"
2017-06-15 02,"UMBUCHUNGBARGELDABHEBUNG 605;00ILS 0;2598512 ",157.21,"cash","default"
2017-06-16 00,"AUSLANDSEINSATZENTG. F.ILS121.60 ",-0.58,"resto","default"
2017-06-16 01,"KOKAV TELAVIVYAFIL 121;60ILS 0;2600329 ",-31.62,"unknown","default"
2017-06-19 00,"AUSLANDSEINSATZENTG.F.ILS595.00 ",-2.86,"resto","default"
2017-06-19 01,"AUSLANDSEINSATZENTG.F.ILS15.00 ",-0.07,"resto","default"
2017-06-19 02,"AUSLANDSEINSATZENTG.F.ILS425.00 ",-2.04,"resto","default"
2017-06-19 03,"AUSLANDSEINSATZENTG.F.ILS101.00 ",-0.49,"resto","default"
2017-06-19 04,"ALMAA.K2015LTD HERZELIYYAIL 101;00ILS 0;2600990 ",-26.27,"unknown","default"
2017-06-19 05,"KAFESOZANA TELAVIV IL 425;00ILS 0;2600235 ",-110.51,"unknown","default"
2017-06-19 06,"ALMAA.K2015LTD HERZELIYYAIL 15;00ILS 0;2600000 ",-3.90,"unknown","default"
2017-06-19 07,"NAMMOS HERZELIYAIL 595;00ILS 0;2600168 ",-154.71,"unknown","default"
2017-06-19 08,"AUSLANDSEINSATZENTG.F.ILS1000.00 ",-4.81,"resto","default"
2017-06-19 09,"ARENAMALL HERZLIYA IL 1.000;00ILS 0;2600200 ",-260.02,"unknown","default"
2017-06-19 10,"UMBUCHUNGBARGELDABHEBUNG 1.000;00ILS 0;2600200 ",260.02,"cash","default"
2017-06-19 11,"AUSLANDSEINSATZENTG.F.ILS564.00 ",-2.71,"resto","default"
2017-06-19 12,"GAYARINERBE"AM TELAVIV IL 564;00ILS 0;2600177 ",-146.65,"unknown","default"
2017-06-20 00,"AUSLANDSEINSATZENTG.F.ILS471.00 ",-2.26,"resto","default"
2017-06-20 01,"AUSLANDSEINSATZENTG.F.ILS190.00 ",-0.91,"resto","default"
2017-06-20 02,"STOPMARKETARENA HERZELIA IL 190;00ILS 0;2598947 ",-49.38,"unknown","default"
2017-06-20 03,"DERBYBAR HERZELIYAIL 471;00ILS 0;2598938 ",-122.41,"unknown","default"
2017-06-23 00,"ZARADEUTSCHLAND3109MUENCHEN DE ",-51.98,"unknown","default"
2017-06-26 00,"AUSLANDSEINSATZENTG.F.ILS1337.01 ",-6.40,"resto","default"
2017-06-26 01,"AUSLANDSEINSATZENTG.F.USD1000.00 ",-16.93,"resto","default"
2017-06-26 02,"HERODS HERZELIYAIL 1.000;00USD 0;9152900 ",-915.29,"unknown","default"
2017-06-26 03,"GAMAMANAGEMENTANDCLEARJERUSALEM IL 1.337;01ILS 0;2588462 ",-346.08,"unknown","default"
2017-06-26 04,"AUSLANDSEINSATZENTG.F.ILS119.00 ",-0.57,"resto","default"
2017-06-26 05,"AUSLANDSEINSATZENTG.F.ILS54.00 ",-0.26,"resto","default"
2017-06-26 06,"MUZIONISRAEL JERUSALEMIL 54;00ILS 0;2587037 ",-13.97,"unknown","default"
2017-06-26 07,"JANET JERUSALEMIL 119;00ILS 0;2588235 ",-30.80,"unknown","default"
2017-06-26 08,"AUSLANDSEINSATZENTG.F.ILS400.00 ",-1.92,"resto","default"
2017-06-26 09,"JERUSALEMMAIN JERUSALEMIL 400;00ILS 0;2588500 ",-103.54,"unknown","default"
2017-06-26 10,"GOOGLE*GoogleMusic g.co/payhelp£GB ",-9.99,"unknown","default"
2017-06-26 11,"DBBAHNAUTOMATEN München-FlughDE ",-6.60,"unknown","default"
2017-06-26 12,"UMBUCHUNGBARGELDABHEBUNG 400;00ILS 0;2588500 ",103.54,"cash","default"
2017-06-26 13,"895EDEKA MZEPPELINST MUENCHEN DE ",-11.04,"unknown","default"
2017-06-26 14,"NETTOSAGTDANKE8441MUENCHENDE ",-6.58,"groceries","default"
2017-06-26 15,"Rossmann1033 MunchenDE ",-4.98,"unknown","default"
2017-06-26 16,"OsteriaAlpenhof Muenchen DE ",-57.50,"unknown","default"
2017-06-26 17,"COMMERZBANKATM MUENCHENDE ",-100.00,"cash","default"
2017-06-26 18,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2017-06-27 00,"Helpling BerlinDE ",-56.70,"unknown","default"
2017-06-27 01,"PROMOD MUENCHENDE ",-23.96,"unknown","default"
